,mean_c-index,std_c-index,mean_brier_score,std_brier_score
0.25,0.8203263115655774,0.00842048197611784,0.039191736510799186,0.0002696433804208534
0.5,0.7360634570292617,0.0019301890809231338,0.09653962455974952,0.0003189690520611225
0.75,0.6781898856915554,0.003588947645350169,0.1724983356434651,0.00045202265414486377
0.9,0.6534459209072511,0.005225996027174811,0.21924825863526362,0.0016957658584053062
